N,sqrt_mse_DNN,sqrt_mse_DNN_ZEROS,sqrt_mse_CNN,sqrt_mse_CNN_ZEROS,sqrt_mse_CNNM,sqrt_mse_CNNM_ZEROS,std_DNN,std_DNN_ZEROS,std_CNN,std_CNN_ZEROS,std_CNNM,std_CNNM_ZEROS,avg_abs_error_DNN,avg_abs_error_DNN_ZEROS,avg_abs_error_CNN,avg_abs_error_CNN_ZEROS,avg_abs_error_CNNM,avg_abs_error_CNNM_ZEROS
32,0.04326,0.04341,0.04104,0.04111,0.04107,0.04123,0.02316,0.02394,0.02529,0.02522,0.02508,0.02517,0.03455,0.03437,0.03174,0.03180,0.03191,0.03194
64,0.01430,0.01435,0.01080,0.01085,0.01101,0.01088,0.00611,0.00584,0.00721,0.00714,0.00714,0.00719,0.01121,0.01135,0.00788,0.00795,0.00799,0.00788
128,0.01480,0.01506,0.01146,0.01161,0.01064,0.01107,0.00766,0.00717,0.00765,0.00750,0.00659,0.00666,0.01136,0.01126,0.00807,0.00831,0.00747,0.00790
256,0.01041,0.01066,0.00498,0.00483,0.00453,0.00455,0.00359,0.00290,0.00350,0.00343,0.00295,0.00298,0.00829,0.00854,0.00340,0.00329,0.00311,0.00302
512,0.00908,0.00798,0.00365,0.00329,0.00272,0.00282,0.00255,0.00217,0.00207,0.00213,0.00170,0.00174,0.00746,0.00647,0.00261,0.00223,0.00184,0.00193
1024,0.00985,0.01143,0.00219,0.00229,0.00153,0.00213,0.00199,0.00373,0.00159,0.00170,0.00101,0.00110,0.00815,0.00933,0.00138,0.00141,0.00103,0.00146
2048,0.01002,0.00789,0.00122,0.00110,0.00104,0.00111,0.00304,0.00144,0.00061,0.00061,0.00056,0.00064,0.00815,0.00650,0.00089,0.00077,0.00075,0.00077
